City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,sorong,-0.8833,131.25,26.57,84,100,3.05,ID,1708296467
145,olonkinbyen,70.9221,-8.7187,0.07,93,100,4.73,SJ,1708296657
146,bikenibeu village,1.3673,173.1241,30.98,74,20,3.09,KI,1708296658
147,tiksi,71.6872,128.8694,-37.71,97,81,3.52,RU,1708296659
148,west island,-12.1568,96.8225,26.99,83,40,2.06,CC,1708296661
149,udachny,66.4167,112.4,-21.21,96,100,6.49,RU,1708296662
150,marquette,46.5333,-87.6335,-4.57,69,92,1.34,US,1708296663
151,ha'il,27.5219,41.6907,11.01,54,0,0.0,SA,1708296665
152,berryville,36.3648,-93.568,11.23,47,0,2.64,US,1708296666
153,new norfolk,-42.7826,147.0587,16.72,67,100,0.55,AU,1708296667
154,pocone,-16.2567,-56.6228,22.62,96,100,5.16,BR,1708296668
155,kiruna,67.8557,20.2251,-13.49,78,99,6.17,SE,1708296669
156,neiafu,-18.65,-173.9833,27.38,78,75,6.17,TO,1708296671
157,santo antonio,-6.3106,-35.4789,25.75,89,33,3.09,BR,1708296672
158,weno,7.4515,151.8468,27.48,71,98,10.01,FM,1708296673
159,wonju,37.3514,127.9453,9.5,98,100,1.05,KR,1708296674
160,broome,42.2506,-75.833,0.39,64,100,4.12,US,1708296675
161,prince george,53.9166,-122.753,-0.95,76,100,1.54,CA,1708296602
162,palu,-0.8917,119.8707,24.88,90,15,1.5,ID,1708296677
163,grove city,39.8815,-83.093,3.28,59,0,6.17,US,1708296678
164,kingston,17.997,-76.7936,28.53,73,20,10.29,JM,1708296425
165,xam nua,20.4197,104.0439,15.62,45,0,1.35,LA,1708296681
166,beckley,37.7782,-81.1882,3.23,54,0,5.14,US,1708296682
167,xiaoweizhai,26.1903,107.5125,15.59,93,32,2.92,CN,1708296683
168,college,64.8569,-147.8028,-4.5,68,40,0.0,US,1708296468
169,spring creek,40.7266,-115.5859,7.06,53,66,0.89,US,1708296686
170,avarua,-21.2078,-159.775,28.03,65,75,7.2,CK,1708296687
171,mutare,-18.9707,32.6709,17.27,88,5,1.21,ZW,1708296688
172,calderitas,18.55,-88.25,20.82,92,100,4.37,MX,1708296689
173,enewetak,11.3474,162.3373,26.28,71,100,6.26,MH,1708296690
174,bighapur khurd,26.35,80.6833,14.83,40,99,3.53,IN,1708296691
175,tindouf,27.6711,-8.1474,19.25,32,0,4.63,DZ,1708296694
176,novyy urgal,51.0736,132.5642,-15.02,95,100,1.29,RU,1708296695
177,bengkulu,-3.8004,102.2655,25.05,88,100,1.86,ID,1708296558
178,sisimiut,66.9395,-53.6735,-13.48,94,100,2.76,GL,1708296697
179,bernardino de campos,-23.0131,-49.4742,19.77,84,64,2.27,BR,1708296698
180,lagoa,39.05,-27.9833,15.68,86,18,4.22,PT,1708296699
181,freetown,8.484,-13.2299,27.84,74,0,5.14,SL,1708296700
182,nova sintra,14.8667,-24.7167,20.78,79,0,9.48,CV,1708296701
183,bakanas,44.8081,76.2772,-17.85,74,99,6.66,KZ,1708296702
184,anadyr,64.75,177.4833,-9.72,72,20,19.0,RU,1708296703
185,mokrous,51.2333,47.5167,-6.24,86,100,7.3,RU,1708296704
186,chishmy,54.5765,55.3764,-11.22,76,50,7.25,RU,1708296705
187,glace bay,46.1969,-59.957,-6.23,67,20,5.66,CA,1708296706
188,santa ana de yacuma,-13.75,-65.4333,32.97,62,75,4.12,BO,1708296707
189,ilhabela,-23.7781,-45.3581,24.59,89,85,1.88,BR,1708296708
190,temiskaming shores,47.4938,-79.7153,-11.11,77,100,5.11,CA,1708296709
191,zandvoort,52.3749,4.5341,8.98,93,75,5.66,NL,1708296710
192,la possession,-20.9289,55.3351,24.99,83,40,8.23,RE,1708296712
193,nouadhibou,20.931,-17.0347,19.99,83,2,6.17,MR,1708296713
194,hamilton,39.1834,-84.5333,7.69,35,0,6.69,US,1708296714
195,flying fish cove,-10.4217,105.6791,25.82,83,40,1.54,CX,1708296715
196,tongouson,5.0214,120.1328,26.93,81,14,3.25,PH,1708296716
197,valparaiso,-33.0393,-71.6273,20.82,71,40,5.66,CL,1708296439
198,berastagi,3.1929,98.5092,16.15,99,100,0.47,ID,1708296718
199,kattivakkam,13.2167,80.3167,25.06,67,49,3.5,IN,1708296719
200,midvagur,62.0511,-7.1939,7.46,93,100,5.66,FO,1708296720
201,katsuura,35.1333,140.3,15.8,70,47,9.14,JP,1708296723
202,lata,40.1629,-8.3327,13.93,91,59,0.89,PT,1708296724
203,san lawrenz,36.0553,14.204,9.67,72,7,3.63,MT,1708296726
204,mahajanga,-15.7167,46.3167,24.01,94,40,3.09,MG,1708296728
205,as sulayyil,20.4607,45.5779,19.14,34,22,5.15,SA,1708296729
206,malango,-2.9627,119.9001,20.69,96,100,0.48,ID,1708296730
207,magong,23.5654,119.5863,22.28,99,100,6.49,TW,1708296731
208,westende,51.1588,2.7683,10.57,87,40,5.14,BE,1708296733
209,kruisfontein,-34.0033,24.7314,16.58,95,3,2.44,ZA,1708296734
210,tual,-5.6667,132.75,28.88,75,95,4.05,ID,1708296735
211,sao vicente,-23.9631,-46.3919,26.1,56,94,1.34,BR,1708296736
212,chegdomyn,51.1167,133.0167,-14.58,96,100,0.87,RU,1708296737
213,flin flon,54.7682,-101.865,-14.09,47,20,1.54,CA,1708296738
214,skowhegan,44.7651,-69.7192,-1.35,65,100,1.8,US,1708296740
